school,value,pref,region
クラーク(北北海道),10,北海道,北海道
クラーク(北北海道),1,青森県,北海道
クラーク(北北海道),1,宮城県,北海道
クラーク(北北海道),1,栃木県,北海道
クラーク(北北海道),2,東京都,北海道
クラーク(北北海道),1,神奈川県,北海道
クラーク(北北海道),1,新潟県,北海道
クラーク(北北海道),3,愛知県,北海道
北海(南北海道),17,北海道,北海道
北海(南北海道),1,神奈川県,北海道
北海(南北海道),2,大阪府,北海道
八戸学院光星(青森),2,青森県,東北
八戸学院光星(青森),1,岩手県,東北
八戸学院光星(青森),2,宮城県,東北
八戸学院光星(青森),1,福島県,東北
八戸学院光星(青森),1,群馬県,東北
八戸学院光星(青森),1,埼玉県,東北
八戸学院光星(青森),1,千葉県,東北
八戸学院光星(青森),2,東京都,東北
八戸学院光星(青森),1,京都府,東北
八戸学院光星(青森),6,大阪府,東北
八戸学院光星(青森),1,兵庫県,東北
八戸学院光星(青森),1,和歌山県,東北
花巻東(岩手),18,岩手県,東北
花巻東(岩手),2,秋田県,東北
ノースアジア大明桜(秋田),9,秋田県,東北
ノースアジア大明桜(秋田),1,千葉県,東北
ノースアジア大明桜(秋田),1,東京都,東北
ノースアジア大明桜(秋田),1,新潟県,東北
ノースアジア大明桜(秋田),1,滋賀県,東北
ノースアジア大明桜(秋田),4,大阪府,東北
ノースアジア大明桜(秋田),2,兵庫県,東北
ノースアジア大明桜(秋田),1,和歌山県,東北
日大山形(山形),4,宮城県,東北
日大山形(山形),14,山形県,東北
日大山形(山形),1,福島県,東北
日大山形(山形),1,栃木県,東北
仙台育英(宮城),1,青森県,東北
仙台育英(宮城),1,岩手県,東北
仙台育英(宮城),5,宮城県,東北
仙台育英(宮城),1,秋田県,東北
仙台育英(宮城),1,山形県,東北
仙台育英(宮城),2,福島県,東北
仙台育英(宮城),1,茨城県,東北
仙台育英(宮城),1,千葉県,東北
仙台育英(宮城),2,東京都,東北
仙台育英(宮城),1,神奈川県,東北
仙台育英(宮城),1,三重県,東北
仙台育英(宮城),1,大阪府,東北
仙台育英(宮城),1,兵庫県,東北
仙台育英(宮城),1,広島県,東北
聖光学院(福島),1,岩手県,東北
聖光学院(福島),1,宮城県,東北
聖光学院(福島),1,山形県,東北
聖光学院(福島),6,福島県,東北
聖光学院(福島),1,群馬県,東北
聖光学院(福島),1,千葉県,東北
聖光学院(福島),3,東京都,東北
聖光学院(福島),1,神奈川県,東北
聖光学院(福島),1,新潟県,東北
聖光学院(福島),2,愛知県,東北
聖光学院(福島),2,大阪府,東北
土浦日大(茨城),9,茨城県,北関東・甲信
土浦日大(茨城),1,栃木県,北関東・甲信
土浦日大(茨城),2,埼玉県,北関東・甲信
土浦日大(茨城),3,千葉県,北関東・甲信
土浦日大(茨城),4,東京都,北関東・甲信
土浦日大(茨城),1,神奈川県,北関東・甲信
文星芸大付(栃木),18,栃木県,北関東・甲信
文星芸大付(栃木),2,東京都,北関東・甲信
前橋商(群馬),20,群馬県,北関東・甲信
浦和学院(埼玉),1,茨城県,南関東
浦和学院(埼玉),2,栃木県,南関東
浦和学院(埼玉),7,埼玉県,南関東
浦和学院(埼玉),2,千葉県,南関東
浦和学院(埼玉),2,東京都,南関東
浦和学院(埼玉),1,長野県,南関東
浦和学院(埼玉),1,兵庫県,南関東
浦和学院(埼玉),2,広島県,南関東
浦和学院(埼玉),1,福岡県,南関東
浦和学院(埼玉),1,沖縄県,南関東
専大松戸(千葉),3,茨城県,南関東
専大松戸(千葉),1,埼玉県,南関東
専大松戸(千葉),12,千葉県,南関東
専大松戸(千葉),3,東京都,南関東
専大松戸(千葉),1,神奈川県,南関東
共栄学園(東東京),20,東京都,南関東
日大三(西東京),3,栃木県,南関東
日大三(西東京),2,埼玉県,南関東
日大三(西東京),2,千葉県,南関東
日大三(西東京),4,東京都,南関東
日大三(西東京),8,神奈川県,南関東
日大三(西東京),1,大阪府,南関東
慶応(神奈川),3,栃木県,南関東
慶応(神奈川),2,千葉県,南関東
慶応(神奈川),7,東京都,南関東
慶応(神奈川),6,神奈川県,南関東
慶応(神奈川),2,愛知県,南関東
東海大甲府(山梨),1,千葉県,北関東・甲信
東海大甲府(山梨),3,東京都,北関東・甲信
東海大甲府(山梨),6,神奈川県,北関東・甲信
東海大甲府(山梨),3,山梨県,北関東・甲信
東海大甲府(山梨),2,岐阜県,北関東・甲信
東海大甲府(山梨),4,愛知県,北関東・甲信
東海大甲府(山梨),1,福岡県,北関東・甲信
上田西(長野),1,埼玉県,北関東・甲信
上田西(長野),19,長野県,北関東・甲信
東京学館新潟(新潟),17,新潟県,北陸
東京学館新潟(新潟),2,長野県,北陸
東京学館新潟(新潟),1,大阪府,北陸
富山商(富山),19,富山県,北陸
富山商(富山),1,岐阜県,北陸
星稜(石川),2,茨城県,北陸
星稜(石川),1,千葉県,北陸
星稜(石川),1,新潟県,北陸
星稜(石川),11,石川県,北陸
星稜(石川),1,大阪府,北陸
星稜(石川),2,兵庫県,北陸
星稜(石川),1,福岡県,北陸
星稜(石川),1,大分県,北陸
北陸(福井),16,福井県,北陸
北陸(福井),3,大阪府,北陸
北陸(福井),1,奈良県,北陸
浜松開誠館(静岡),2,埼玉県,東海
浜松開誠館(静岡),1,千葉県,東海
浜松開誠館(静岡),1,長野県,東海
浜松開誠館(静岡),6,静岡県,東海
浜松開誠館(静岡),4,愛知県,東海
浜松開誠館(静岡),1,京都府,東海
浜松開誠館(静岡),2,大阪府,東海
浜松開誠館(静岡),3,奈良県,東海
愛工大名電(愛知),1,茨城県,東海
愛工大名電(愛知),2,岐阜県,東海
愛工大名電(愛知),1,静岡県,東海
愛工大名電(愛知),12,愛知県,東海
愛工大名電(愛知),3,三重県,東海
愛工大名電(愛知),1,滋賀県,東海
大垣日大(岐阜),1,富山県,東海
大垣日大(岐阜),1,石川県,東海
大垣日大(岐阜),7,岐阜県,東海
大垣日大(岐阜),1,静岡県,東海
大垣日大(岐阜),7,愛知県,東海
大垣日大(岐阜),1,三重県,東海
大垣日大(岐阜),1,滋賀県,東海
大垣日大(岐阜),1,愛媛県,東海
いなべ総合学園(三重),2,岐阜県,東海
いなべ総合学園(三重),4,愛知県,東海
いなべ総合学園(三重),13,三重県,東海
いなべ総合学園(三重),1,滋賀県,東海
近江(滋賀),11,滋賀県,近畿
近江(滋賀),1,京都府,近畿
近江(滋賀),7,大阪府,近畿
近江(滋賀),1,和歌山県,近畿
立命館宇治(京都),2,愛知県,近畿
立命館宇治(京都),2,三重県,近畿
立命館宇治(京都),1,滋賀県,近畿
立命館宇治(京都),6,京都府,近畿
立命館宇治(京都),6,大阪府,近畿
立命館宇治(京都),1,兵庫県,近畿
立命館宇治(京都),2,奈良県,近畿
履正社(大阪),1,東京都,近畿
履正社(大阪),2,滋賀県,近畿
履正社(大阪),2,京都府,近畿
履正社(大阪),10,大阪府,近畿
履正社(大阪),3,兵庫県,近畿
履正社(大阪),1,奈良県,近畿
履正社(大阪),1,鳥取県,近畿
社(兵庫),20,兵庫県,近畿
智弁学園(奈良),1,三重県,近畿
智弁学園(奈良),2,京都府,近畿
智弁学園(奈良),2,大阪府,近畿
智弁学園(奈良),4,兵庫県,近畿
智弁学園(奈良),9,奈良県,近畿
智弁学園(奈良),1,徳島県,近畿
智弁学園(奈良),1,香川県,近畿
市和歌山(和歌山),8,大阪府,近畿
市和歌山(和歌山),12,和歌山県,近畿
おかやま山陽(岡山),1,東京都,中国
おかやま山陽(岡山),16,岡山県,中国
おかやま山陽(岡山),2,広島県,中国
おかやま山陽(岡山),1,山口県,中国
広陵(広島),1,大阪府,中国
広陵(広島),1,兵庫県,中国
広陵(広島),1,岡山県,中国
広陵(広島),10,広島県,中国
広陵(広島),3,山口県,中国
広陵(広島),1,徳島県,中国
広陵(広島),2,福岡県,中国
広陵(広島),1,熊本県,中国
鳥取商(鳥取),6,兵庫県,中国
鳥取商(鳥取),14,鳥取県,中国
立正大淞南(島根),4,大阪府,中国
立正大淞南(島根),3,兵庫県,中国
立正大淞南(島根),1,奈良県,中国
立正大淞南(島根),7,島根県,中国
立正大淞南(島根),2,広島県,中国
立正大淞南(島根),3,沖縄県,中国
宇部鴻城(山口),18,山口県,中国
宇部鴻城(山口),2,福岡県,中国
英明(香川),3,広島県,四国
英明(香川),1,徳島県,四国
英明(香川),16,香川県,四国
徳島商(徳島),20,徳島県,四国
川之江(愛媛),4,大阪府,四国
川之江(愛媛),16,愛媛県,四国
高知中央(高知),1,愛知県,四国
高知中央(高知),1,京都府,四国
高知中央(高知),4,大阪府,四国
高知中央(高知),3,兵庫県,四国
高知中央(高知),2,奈良県,四国
高知中央(高知),1,和歌山県,四国
高知中央(高知),1,岡山県,四国
高知中央(高知),2,広島県,四国
高知中央(高知),1,香川県,四国
高知中央(高知),1,愛媛県,四国
高知中央(高知),2,高知県,四国
高知中央(高知),1,台湾,四国
九州国際大付(福岡),1,神奈川県,九州
九州国際大付(福岡),1,大阪府,九州
九州国際大付(福岡),1,兵庫県,九州
九州国際大付(福岡),14,福岡県,九州
九州国際大付(福岡),2,佐賀県,九州
九州国際大付(福岡),1,長崎県,九州
鳥栖工(佐賀),1,福岡県,九州
鳥栖工(佐賀),19,佐賀県,九州
創成館(長崎),8,福岡県,九州
創成館(長崎),2,佐賀県,九州
創成館(長崎),1,長崎県,九州
創成館(長崎),1,熊本県,九州
創成館(長崎),4,大分県,九州
創成館(長崎),3,宮崎県,九州
創成館(長崎),1,鹿児島県,九州
東海大熊本星翔(熊本),9,大阪府,九州
東海大熊本星翔(熊本),9,熊本県,九州
東海大熊本星翔(熊本),2,沖縄県,九州
明豊(大分),1,京都府,九州
明豊(大分),2,大阪府,九州
明豊(大分),2,兵庫県,九州
明豊(大分),1,奈良県,九州
明豊(大分),2,和歌山県,九州
明豊(大分),1,岡山県,九州
明豊(大分),1,福岡県,九州
明豊(大分),1,熊本県,九州
明豊(大分),7,大分県,九州
明豊(大分),1,鹿児島県,九州
明豊(大分),1,沖縄県,九州
宮崎学園(宮崎),1,福岡県,九州
宮崎学園(宮崎),1,熊本県,九州
宮崎学園(宮崎),18,宮崎県,九州
神村学園(鹿児島),2,兵庫県,九州
神村学園(鹿児島),3,福岡県,九州
神村学園(鹿児島),4,佐賀県,九州
神村学園(鹿児島),1,長崎県,九州
神村学園(鹿児島),1,熊本県,九州
神村学園(鹿児島),1,宮崎県,九州
神村学園(鹿児島),7,鹿児島県,九州
神村学園(鹿児島),1,沖縄県,九州
沖縄尚学(沖縄),1,福井県,沖縄
沖縄尚学(沖縄),1,大阪府,沖縄
沖縄尚学(沖縄),18,沖縄県,沖縄