種,カテゴリー,品種名,頭数
カイイヌ,大型犬,ゴールデン・レトリーバー,2352
カイイヌ,中型犬,柴（豆柴含む）,7737
カイイヌ,中型犬,フレンチ・ブルドッグ,3308
カイイヌ,中型犬,ウェルシュ・コーギー・ペンブローク,1473
カイイヌ,中型犬,ボーダー・コリー,1124
カイイヌ,小型犬,トイ・プードル,24935
カイイヌ,小型犬,チワワ,16971
カイイヌ,小型犬,ミニチュア・ダックスフンド,7723
カイイヌ,小型犬,ポメラニアン,7158
カイイヌ,小型犬,ミニチュア・シュナウザー,5665
カイイヌ,小型犬,マルチーズ,3130
カイイヌ,小型犬,ヨークシャー・テリア,2683
カイイヌ,小型犬,シー・ズー,2585
カイイヌ,小型犬,カニーンヘン・ダックスフンド,2424
カイイヌ,小型犬,ビション・フリーゼ,2109
カイイヌ,小型犬,パグ,1648
カイイヌ,小型犬,パピヨン,1159
カイイヌ,小型犬,ジャック・ラッセル・テリア,1067
カイイヌ,小型犬,ペキニーズ,1028
カイイヌ,MIX犬,MIX犬（10kg未満）,25795