市区町村,店舗名,住所
八王子市,八王子宇津木店,東京都 八王子市 宇津木町777-1
八王子市,八王子オクトーレ店,東京都 八王子市 旭町9-1 八王子オクトーレ　1F
八王子市,セレオ八王子北館店,東京都 八王子市 旭町1-1 セレオ八王子
八王子市,多摩野猿街道店,東京都 八王子市 堀之内2-12-1
八王子市,フレンテ南大沢店,東京都 八王子市 南大沢2-1-6 フレンテ南大沢
八王子市,中央大学店,東京都 八王子市 東中野742-1
八王子市,サザンスカイタワー八王子店,東京都 八王子市 子安町4-7-1 サザンスカイタワー八王子
八王子市,元八王子店,東京都 八王子市 元八王子町1-409-2
八王子市,イーアス高尾店,東京都 八王子市 東浅川町550-1 イーアス高尾
立川市,立川若葉店,東京都 立川市 若葉町1-11-7
立川市,立川伊勢丹店,東京都 立川市 曙町2-5-1 伊勢丹立川店 1F
立川市,ルミネ立川店,東京都 立川市 曙町2-1-1 ルミネ立川店　1階
立川市,ららぽーと立川立飛店,東京都 立川市 泉町935-1
立川市,ららぽーと立川立飛2階 パークサイド店,東京都 立川市 泉町935-1 ららぽーと立川立飛2階
立川市,エキュート立川店,東京都 立川市 柴崎町3-1-1 エキュート立川　３階
立川市,グランデュオ立川店,東京都 立川市 柴崎町3-2-1
武蔵野市,井の頭公園店,東京都 武蔵野市 吉祥寺南町1-15-7 重川ビル
武蔵野市,アトレ吉祥寺店,東京都 武蔵野市 吉祥寺南町1-1-24　 アトレ吉祥寺
武蔵野市,キラリナ京王吉祥寺店,東京都 武蔵野市 吉祥寺南町2-1-25
武蔵野市,吉祥寺東急店,東京都 武蔵野市 吉祥寺本町2-3-1 東急百貨店吉祥寺店 1F
武蔵野市,吉祥寺駅前店,東京都 武蔵野市 吉祥寺本町1-15-9 吉祥寺岩崎ビル
武蔵野市,武蔵境イトーヨーカドー店,東京都 武蔵野市 境南町2-3-6 イトーヨーカドー武蔵境店西館
武蔵野市,吉祥寺パルコ店,東京都 武蔵野市 吉祥寺本町1-5-1 吉祥寺PARCO
三鷹市,三鷹武蔵境通り店,東京都 三鷹市 井口2-1-2
三鷹市,アトレヴィ三鷹店,東京都 三鷹市 下連雀3-46-4
三鷹市,杏林大学病院店,東京都 三鷹市 新川6-20-2
青梅市,カインズホーム青梅店,東京都 青梅市 新町6-9-4
府中市,府中くるる店,東京都 府中市 宮町1-50 くるる
府中市,府中西府店,東京都 府中市 西府町2-5-7
府中市,京王府中駅ビル店,東京都 府中市 府中町1-2-1 京王府中ショッピングセンター
昭島市,昭島モリタウン店,東京都 昭島市 代官山2-3-1 モリタウン
昭島市,昭島駅前店,東京都 昭島市 代官山2-3-1 モリタウン１階
調布市,仙川駅前店,東京都 調布市 仙川町1-49-2 パール仙川 1F
調布市,トリエ京王調布店,東京都 調布市 布田4-4-22 トリエ京王調布 A館
調布市,調布パルコ店,東京都 調布市 小島町1-38-1
町田市,南町田グランベリーパーク店,東京都 町田市 鶴間3-4-1 南町田グランベリーパーク
町田市,町田金森店,東京都 町田市 金森3-1-10
町田市,ぽっぽ町田店,東京都 町田市 原町田4-10-20
町田市,ルミネ町田店,東京都 町田市 原町田6-1-11
町田市,町田パリオ店,東京都 町田市 森野1-15-13 パリオビル
町田市,多摩境店,東京都 町田市 小山ヶ丘3-2-8
町田市,町田東急ツインズWEST店,東京都 町田市 原町田6-4-1 町田東急ツインズ　ウエスト３階　W306
町田市,町田東急ツインズEAST店,東京都 町田市 原町田6-4-1 町田東急ツインズ イースト2階
町田市,小田急町田駅店,東京都 町田市 原町田6-12-20
町田市,鶴川店,東京都 町田市 能ヶ谷1-5-1 小田急マルシェ鶴川２
小金井市,nonowa東小金井店,東京都 小金井市 梶野町5-1-1 nonowa東小金井
小金井市,nonowa武蔵小金井店,東京都 小金井市 本町6-14-29
小平市,小平天神店,東京都 小平市 天神町1-12-9
日野市,日野万願寺店,東京都 日野市 万願寺4-24-6
日野市,イオンモール多摩平の森店,東京都 日野市 多摩平2-4-1
国分寺市,ミーツ国分寺店,東京都 国分寺市 本町3-1-1 cocobunji WEST
国分寺市,nonowa西国分寺店,東京都 国分寺市 西恋ヶ窪2-1-18 JR西国分寺駅 改札内 nonowa西国分寺店
国立市,nonowa国立店,東京都 国立市 北1-14-1 nonowa国立
国立市,国立店,東京都 国立市 東1-6-21
福生市,福生西友店,東京都 福生市 東町5-1 福生西友
狛江市,狛江駅店,東京都 狛江市 元和泉1-2-2
東大和市,リコパ東大和店,東京都 東大和市 桜が丘2-142-1 リコパ東大和 テラス棟1階
清瀬市,清瀬駅前店,東京都 清瀬市 元町1-8-1 三福ビル
東久留米市,イオンモール東久留米店,東京都 東久留米市 南沢5-17-62 イオンモール東久留米
武蔵村山市,イオンモールむさし村山2階店,東京都 武蔵村山市 榎1-1-3
武蔵村山市,むさし村山新青梅街道店,東京都 武蔵村山市 榎3-2-3
武蔵村山市,イオンモールむさし村山1階店,東京都 武蔵村山市 榎1-1-3 イオンモールむさし村山
多摩市,ヴィータモールせいせき店,東京都 多摩市 関戸4-72 ヴィータモールせいせき1階
多摩市,京王聖蹟桜ヶ丘SC店,東京都 多摩市 関戸1-10-1 京王聖蹟桜ヶ丘ショッピングセンター B館
多摩市,小田急多摩センター駅店,東京都 多摩市 落合1-11-2 小田急マルシェ多摩センター
多摩市,ココリア多摩センター店,東京都 多摩市 落合1-46-1 ココリア多摩センター店
稲城市,稲城東長沼店,東京都 稲城市 東長沼1711-6
稲城市,よみうりランドHANA・BIYORI店,東京都 稲城市 矢野口4015-1 よみうりランドHANA・BIYORI
稲城市,よみうりランドグッジョバ!!店,東京都 稲城市 矢野口4015-1 よみうりランド
羽村市,羽村栄町店,東京都 羽村市 栄町2-2-6
西東京市,エミオひばりヶ丘店,東京都 西東京市 住吉町3-9-19 エミオひばりヶ丘
西東京市,西東京新町店,東京都 西東京市 新町5-19-10